OBJECTID1 *,OBJECTID,Research_Group,Date,Year,Month,Vessel,Sighting,Sight_Type,Start_Time,LocDesc,Start_Lat,Start_Long,Start_Dec_Lat,Start_Dec_Long,Depth,D_units,Species,Est_Size_Min,Est_Size_Max,Est_Size_Best,Num_Calves,Group_Type,GEX__m_,GEY__m_,Group_Beh,DOT,Other_Beh_1,Other_Beh_2,Other_Beh_3,Photos_,Est_ID,Actual_ID,Photographer_1,Series_Number_1,Frames_1,Photographer_2,Series_Number_2,Frames_2,Photographer_3,Series_Number_3,Frames_3,Comments,SHAPE *
207,290,MAKAH,9-Jul-20,2020,7,RHIB,38,S,12/30/1899 2:14:00 PM,Duk Point,N 48 12.30,W 124 43.37,48.205,-124.7228,<Null>,,Er,<Null>,<Null>,1,,,<Null>,<Null>,,,,,,1,1,<Null>,Jonathan Scordino,2020 Makah\20200709,20200709_JON_6010 - 20200709_JON_6093,,,,,,,"Lost whale appeared to be traveling North, found again, left only",Point
208,184,MAKAH,31-Oct-19,2019,10,RHIB,37,S,12/30/1899 2:22:00 PM,Father and Son,N 48 13.58,W 124 42.77,48.2263,-124.7128,<Null>,,Er,<Null>,<Null>,1,,,<Null>,<Null>,,,,,,0,<Null>,<Null>,,,,,,,,,,"In area, lost",Point
209,318,MAKAH,26-Jul-20,2020,7,Optimistic,3,S,12/30/1899 10:22:00 AM,,N 48 21.66,W 124 33.21,48.361,-124.5535,<Null>,,Er,<Null>,<Null>,3,,,<Null>,<Null>,,,,,,1,3,<Null>,Jonathan Scordino,2020 Makah\20200726,20200726_JON_0167 - 20200726_JON_0224,,,,,,,"[Added begin frame of 0167, no begin frame was listed. Looks like camera date/time was corrected on last frame of this sighting.-ED]",Point
210,129,MAKAH,30-Sep-19,2019,9,Optimistic,2,SBE,12/30/1899 3:17:00 PM,Sail River,N 48 21.94,W 124 33.65,48.3656,-124.5608,39,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,,,,1,1,1,Elizabeth Allyn,20190930,20190930_LIZ_8648 - 20190930_LIZ_8674,,,,,,,"Feeding, likely mysids, Liliana spotted",Point
211,87,MAKAH,19-Aug-19,2019,8,RHIB,17,S,12/30/1899 11:36:00 AM,Portage,N 48 17.66,W 124 41.50,48.2943,-124.6916,29,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Travel,,,,,0,<Null>,<Null>,,,,,,,,,,"Lost, no photo. Scatter over bottom.",Point
212,121,MAKAH,20-Sep-19,2019,9,RHIB,23,S,12/30/1899 1:19:00 PM,Shi Shi,N 48 16.50,W 124 41.58,48.275,-124.693,45,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,,,,,,1,1,1,Elizabeth Allyn,20190920,20190920_LIZ_8442 - 20190920_LIZ_8467,Jonathan Scordino,20190920,20190920_JON_1834 - 20190920_JON_1878,,,,fecal sample collected,Point
213,170,MAKAH,31-Oct-19,2019,10,RHIB,3,SBE,12/30/1899 10:27:00 AM,Waadah,N 48 23.09,W 124 35.68,48.3848,-124.5946,35,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,,,,1,1,1,Elizabeth Allyn,20191031,20191031_LIZ_2041 - 20191031_LIZ_2084,Jonathan Scordino,20191031,20191031_JON_4716 - 20191031_JON_4762,,,,munched,Point
214,102,MAKAH,11-Sep-19,2019,9,RHIB,19,SBE,12/30/1899 11:34:00 AM,Anderson Rocks,N 48 18.38,W 124 41.31,48.3063,-124.6885,49,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,,,,1,1,1,Elizabeth Allyn,20190911,20190911_LIZ_7188 - 20190911_LIZ_7197,Jonathan Scordino,20190911,20190911_JON_0847 - 20190911_JON_0866,,,,"Munched. Feeding, patches of 5ft mysid scatter. Focal follow, no scat. [Added unassigned frames JON_0861-0866 to this sighting.]",Point
215,349,MAKAH,28-Nov-20,2020,11,RHIB,3,S,12/30/1899 1:48:00 PM,,N 48 19.63,W 124 28.28,48.3271,-124.4713,21,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,,,,,,1,1,<Null>,Jonathan Scordino,2020 Makah\20201128,20201128_JON_2793 - 20201128_JON_2822,,,,,,,some photos,Point
216,108,MAKAH,11-Sep-19,2019,9,RHIB,35,S,12/30/1899 3:00:00 PM,,N 48 10.47,W 124 45.89,48.1745,-124.7648,25,ft,Er,<Null>,<Null>,2,,,<Null>,<Null>,,,,,,1,2,2,Elizabeth Allyn,20190911,20190911_LIZ_7340 - 20190911_LIZ_7394,Jonathan Scordino,20190911,20190911_JON_1048 - 20190911_JON_1076,,,,"Originally recorded as one whale, but two individuals seen in photos",Point
217,178,MAKAH,31-Oct-19,2019,10,RHIB,14,S,12/30/1899 12:06:00 PM,Cape Flattery Lookout,N 48 23.17,W 124 43.63,48.3861,-124.7271,<Null>,,Er,<Null>,<Null>,1,,,<Null>,<Null>,,,,,,0,<Null>,<Null>,,,,,,,,,,No photo,Point
